video_id,comment_id,text,author,channel_id,likes,replies,time,timestamp,scraped_at,source,original_length,clean_text,normalized_text,processed_text,sentiment_text,text_length,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,has_exclamation,has_question,has_emoji
dc5S4IV_NeA,Ugwq1SLYyMToZDkdnl14AaABAg,"OMG, This is the best.",@juliearnold6249,,0,0,5 days ago,1762740607.529556,2025-11-14T21:10:07.529556,youtube,22,"OMG, This is the best.",omg this is the best,omg this is the best,"OMG, This is the best.",22,5,3.6,1.0,0.3,False,False,False
dc5S4IV_NeA,UgwLWt2I0Zr2chTokRN4AaABAg,"Is it me who doesn't get it or is it just as it looks... A man who had a stop his clubbing days to become a parent? Isn't that what everyone did?

 Im reading comments about losing a son and people crying...

Am I just being really thick and not getting the hidden message?",@mrsdungeyevans,,0,0,5 days ago (edited),1762740607.630903,2025-11-14T21:10:07.630903,youtube,273,Is it me who doesn't get it or is it just as it looks... A man who had a stop his clubbing days to become a parent? Isn't that what everyone did? Im reading comments about losing a son and people crying... Am I just being really thick and not getting the hidden message?,is it me who doesnt get it or is it just as it looks a man who had a stop his clubbing days to become a parent isnt that what everyone did im reading comments about losing a son and people crying am i just being really thick and not getting the hidden message,doesnt look man stop clubbing day become parent isnt everyone im reading comment losing son people cry thick getting hidden message,Is it me who doesn't get it or is it just as it looks... A man who had a stop his clubbing days to become a parent? Isn't that what everyone did? Im reading comments about losing a son and people crying... Am I just being really thick and not getting the hidden message?,273,54,4.018518518518518,-0.2222222222222222,0.4694444444444444,False,True,False
dc5S4IV_NeA,UgwZGybWHHN1nkOJlup4AaABAg,"Another so-called Christmas advert that omits to mention Christmas, rumours of woke's death are greatly exaggerated.",@TerryNicholas-g3i,,0,0,5 days ago,1762740607.732302,2025-11-14T21:10:07.732302,youtube,116,"Another so-called Christmas advert that omits to mention Christmas, rumours of woke's death are greatly exaggerated.",another socalled christmas advert that omits to mention christmas rumours of wokes death are greatly exaggerated,another socalled christmas advert omits mention christmas rumour wokes death greatly exaggerated,"Another so-called Christmas advert that omits to mention Christmas, rumours of woke's death are greatly exaggerated.",116,16,6.3125,-0.5,1.0,False,False,False
dc5S4IV_NeA,UgyRljoG7GzpDLNJTzN4AaABAg,I'm not crying 😭 this advert reminded me so much of my late Dad and my younger brother ❤️ well done John Lewis 👏,@DonB-dv2bc,,0,0,5 days ago,1762740607.934238,2025-11-14T21:10:07.934238,youtube,112,I'm not crying 😭 this advert reminded me so much of my late Dad and my younger brother ❤️ well done John Lewis 👏,im not crying 😭 this advert reminded me so much of my late dad and my younger brother ❤️ well done john lewis 👏,im cry advert reminded much late dad younger brother well done john lewis,I'm not crying 😭 this advert reminded me so much of my late Dad and my younger brother ❤️ well done John Lewis 👏,112,24,3.7083333333333335,-0.06666666666666667,0.39999999999999997,False,False,True
dc5S4IV_NeA,Ugz1dzu_C0VV1vF-pa14AaABAg,Beautiful moment. Love always lives,@colinjessimer1150,,0,0,5 days ago (edited),1762740608.034533,2025-11-14T21:10:08.034533,youtube,35,Beautiful moment. Love always lives,beautiful moment love always lives,beautiful moment love always life,Beautiful moment. Love always lives,35,5,6.2,0.675,0.8,False,False,False
dc5S4IV_NeA,Ugw2tKwLh9IKs59UVA54AaABAg,"Well… that’s… just kicked me in the feels…. 😢
That’s enough internet for today",@pPod1231,,0,0,5 days ago,1762740608.135988,2025-11-14T21:10:08.136686,youtube,78,Well… that’s… just kicked me in the feels…. 😢 That’s enough internet for today,well… that’s… just kicked me in the feels… 😢 that’s enough internet for today,well kicked feel enough internet today,Well… that’s… just kicked me in the feels…. 😢 That’s enough internet for today,78,14,4.642857142857143,0.0,0.5,False,False,True
dc5S4IV_NeA,Ugw-5BulPgB8SQZ7fiN4AaABAg,The Nineties were just everything.. I miss that era so much,@elle5266,,0,0,5 days ago,1762740608.237005,2025-11-14T21:10:08.237005,youtube,59,The Nineties were just everything.. I miss that era so much,the nineties were just everything i miss that era so much,ninety everything miss era much,The Nineties were just everything.. I miss that era so much,59,11,4.454545454545454,0.2,0.2,False,False,False
dc5S4IV_NeA,UgwLDV-dnzIjOhEOjc14AaABAg,Cheers. Im crying now,@JayGall-jw2fw,,0,0,5 days ago,1762740608.338521,2025-11-14T21:10:08.338521,youtube,21,Cheers. Im crying now,cheers im crying now,cheer im cry,Cheers. Im crying now,21,4,4.5,-0.2,0.6,False,False,False
dc5S4IV_NeA,UgwI_YhE9123VAdjN7F4AaABAg,This had me crying. You could just feel the memories and emotions. It was so lovely❤,@clairfoster211,,0,0,5 days ago,1762740608.438878,2025-11-14T21:10:08.439662,youtube,84,This had me crying. You could just feel the memories and emotions. It was so lovely❤,this had me crying you could just feel the memories and emotions it was so lovely❤,cry feel memory emotion lovely,This had me crying. You could just feel the memories and emotions. It was so lovely❤,84,16,4.3125,-0.2,0.6,False,False,True
dc5S4IV_NeA,UgwGvKtdiGebNQF4U7d4AaABAg,We need more advertising like this . 😢,@robkotla3642,,0,0,5 days ago,1762740609.054452,2025-11-14T21:10:09.054452,youtube,38,We need more advertising like this . 😢,we need more advertising like this 😢,need advertising,We need more advertising like this . 😢,38,8,3.875,0.5,0.5,False,False,True
